No. dossier,Nom organisme / programme,Situé à,Description,Tél. de bureau,Site internet / Courriel
CQE1660,Jardin communautaire écologique les Coccinelles de Bromont,Bromont,"Accès à une parcelle de jardin adaptée aux besoins et capacités de chacun, promotion du jardinage écologique, outils nécessaires, compost, parcelle collective, cultivée bénévolement offrant des dons",450-534-2181,
CQE1626,Jardin d'enfants de Sutton,Sutton,"Prématernelle pour enfants de 3-5 ans, encadrement pédagogique, activités ludiques et éducatives : sorties, jeux, bricolages, lectures, dessins, activités motrices, et autres, avec service de garde",450-538-3024,
CQE1607,Jardins communautaires de Sutton,Sutton,"Jardins communautaires, promotion de l'alimentation saine et locale, agriculture de proximité",450-538-8064,
CQE1583,"Lac-Brome, Hôtel de ville",Lac-Brome,"Assume des responsabilités en aménagement et urbanisme, habitation, voirie, développement communautaire et culturel, loisirs, transports en commun en milieu urbain, assainissement des eaux usées",450-243-6111,
CQE1813,"Lac-Brome, Hôtel de ville, Frigo communautaire",Lac-Brome,"Frigo communautaire libre-service (frigo-partage), réfrigérateur en libre-service servant au partage de la nourriture (situé dans la cuisine du Centre Lac-Brome), don de denrées par le public",450-242-2020,
CQE1629,"Le Regroupement des Auberges du cœur du Québec, Espace vivant Living room",Cowansville,"Maison d'hébergement pour les adolescents vivant des difficultés, hébergement de 90 jours maximum, dépannage d'urgence 48 heures, écoute, aide à la réinsertion familiale et sociale, appartements",450-955-0622,
CQE0345,Le RePaire - Espace collectif pour l'apprentissage en famille,Bedford,"Espace collectif pour l'apprentissage en famille, ateliers et activité ludiques (Salon du livre, peinture, jeux de société, bricolage, cuisine, couture, expérience scintifique), sorties récréatives",438-992-9797,
CQE0118,"Ligue La Leche, Estrie - Granby - Cowansville",Dunham,"Encouragement, information et éducation aux mères allaitant leur bébé, promotion d'une meilleure compréhension de l'allaitement comme élément important d'un développement sain du bébé et de la mère",450-295-3577,
CQE1495,"Ligue La Leche, Estrie - Région 05",Estrie - Région 05,"Encouragement, information et éducation aux mères allaitant leur bébé, promotion d'une meilleure compréhension de l'allaitement comme élément important d'un développement sain du bébé et de la mère",Marie-Pierre 450-295-3577 / Lynda 450-522-1023 / Sophie-Donata 450-263-7173 / Martine 514-464-4819,
CQE0185,Loisirs Saint-Damien de Bedford (Les),Bedford,"Organisation et promotion d'activités sportives et de loisir au sein de la municipalité, gestion du centre des loisirs, camp de la relâche, location de raquettes (enfants et adultes)",450-248-7150,
CQE0199,"Légion royale canadienne, Filiale 06-023, Brome, Knowlton",Lac-Brome,"Aide aux vétérans, aux membres en service actif des Forces armées canadiennes et de la Gendarmerie royale du Canada et leur famille, défense de leurs droits et intérêts, promotion du Souvenir, camp",450-243-5302,
CQE0200,"Légion royale canadienne, Filiale 06-099, Cowansville",Cowansville,"Aide aux vétérans, aux membres en service actif des Forces armées canadiennes et de la Gendarmerie royale du Canada et leur famille, défense de leurs droits et intérêts, promotion du Souvenir, camp",450-263-3543,
CQE1602,Maison de la famille de Cowansville Région,Cowansville,"Lieu de rencontre et de vie communautaire pour les familles, accueil, information et référence, halte-garderie et halte-répit (18 mois-5 ans), dépannage bambin : location de sièges d'auto, poussett",450-815-1110,
CQE1604,Maison de la famille des Frontières,Bedford,"Soutien au bien-être et au développement des familles ayant des enfants (0-17 ans), éducation populaire et accompagnement pour l'amélioration des conditions de vie, soutien, écoute et référence",450-248-0595,
CQE0191,Maison de la famille Farnham,Farnham,"Améliore les conditions de vie des jeunes familles par diverses activités d'éducation et de soutien visant l'amélioration des conditions de vie des familles, accueil, écoute et accompagnement",450-293-2279,
CQE1624,Maison des jeunes de Cowansville le Trait d'union,Cowansville,"Lieu de rencontre animé pour et par des jeunes qui, au contact d'adultes significatifs, auront l'opportunité de devenir des citoyens actifs, critiques et responsables, écoute, soutien et référence",450-263-9215,
CQE1616,Maison des jeunes de Farnham,Farnham,"Lieu de rencontres, d'apprentissages et d'échanges pour les jeunes, travail de milieu : accompagnement, écoute active, sensibilisation et information, ateliers de prévention sur la toxicomanie",450-293-7866,
CQE0177,Maison des jeunes de Sutton Le Spot,Sutton,"Lieu de rencontre animé où les jeunes, au contact d'adultes significatifs, pourront devenir des citoyens critiques et responsables, amélioration de la qualité de vie des jeunes, milieu de vi",450-522-7494 / 450-538-7494,
CQE1627,Maison des Jeunes Le Boum,Bedford,"Lieu de rencontres, d'apprentissages et d'échanges pour les jeunes, travail de milieu : accompagnement, écoute active, sensibilisation et information, ateliers de prévention sur la toxicomanie",450-248-0522,
CQE1740,Maison Dunham,Dunham,"Centre de traitement résidentiel pour les personnes souffrant de troubles de santé mentale et de troubles concomitants comme la toxicomanie et l'alcoolisme, programme d'une durée de 180 jours",450-263-3434,
CQE1562,Municipalité régionale de comté de Brome-Missisquoi,Cowansville,"Mise en commun des services pour le regroupement des 21 municipalités locales. Municipalités de la MRC (voir dossiers municipaux) : Abercorn, Bedford, Bedford (Canton), Bolton-Ouest, Brigham, Brome",450-266-4900,
CQE1745,"Municipalité régionale de comté de Brome-Missisquoi, Service de transport adapté et collectif",Cowansville,"Transport adapté pour les personnes handicapées et leurs accompagnateurs, transport collectif pour les personnes ambulantes, minibus, taxi régulier ou taxi accessible en fonction des besoins",450-263-7010,
CQE1582,"Notre-Dame-de-Stanbridge, Hôtel de ville",Notre-Dame-de-Stanbridge,"Assume des responsabilités en aménagement et urbanisme, habitation, voirie, développement communautaire et culturel, loisirs, transports en commun en milieu urbain, assainissement des eaux usées",450-296-4710 / Urgence voirie 450-357-6358 / Signalement de chiens errants 450-357-6358,
CQE0099,Nourri-Source Brome-Missisquoi Montérégie,Brome-Missisquoi (MRC),"Mouvement d'entraide pour l'allaitement maternel, composé de marraines d'allaitement formées au soutien et à l'accompagnement des familles, écoute active, encouragement et conseils techniques",514-425-0805,
CQE0117,"Nourri-Source Montérégie, Brome-Missisquoi",Cowansville,"Mouvement d'entraide pour l'allaitement maternel, composé de marraines d'allaitement formées au soutien et à l'accompagnement des familles, écoute active, encouragement et conseils techniques",,
GBY0274,"OBOULO Granby, Point de service de Cowansville",Cowansville,"Soutien aux chercheurs d'emploi à intégrer le marché du travail, service individuel ou de groupe en fonction des besoins de la clientèle, création et correction de curriculum vitae et lettres de mot",450-266-0888,
CQE0294,Office d'habitation Brome-Missisquoi,Cowansville,"Procurer aux ménages à faible revenu des logements de qualité dont le loyer, les conditions et l'environnement tiennent compte de leur réalité socio-économique, service d'aide à la recherche de logement",450-263-2143 / Service d'aide à la recherche de logement 450-830-5453,
CQE0254,Organisme de bassin versant de la baie Missisquoi,Bedford,"Concertation des acteurs de l'eau, protection, amélioration et mise en valeur de la ressource eau dans sa zone d'intervention, ainsi que des ressources et habitats qui y sont associés, restauration d",450-955-1821,
CQE1726,Parc d'environnement naturel de Sutton,Sutton,"Protection de la nature de Sutton en assurant un accès public encadré, mise en place d'un programme d'éducation relatif à l'environnement favorisant sa compréhension, son respect et sa conservation",450-538-4085,
CQE1650,Parenfant Estrie,Cowansville,"Ressource en supervision de droits d'accès à Cowansville et Granby, soutien aux enfants en permettant les rencontres avec leurs parents dans un contexte non conflictuel, sain et sécuritaire, maintient",Cowansville et Granby 450-263-5000,
CQE1661,Paroisse Saint-François-Xavier,Bromont,"Services religieux et communautaires, pastorale et catéchèse",450-534-2181,
CQE1637,Phare source d'entraide (Le),Farnham,"Ressource alternative d'entraide en santé mentale, lieu animé et organisé par et pour des personnes vivant ou ayant vécu des problèmes de santé mentale, information, référence, sensibilisation et formation",450-293-0690,
CQE1638,"Phare source d'entraide (Le), Point de service Cowansville",Cowansville,"Ressource alternative d'entraide en santé mentale, lieu animé et organisé par et pour des personnes vivant ou ayant vécu des problèmes de santé mentale, information, référence, sensibilisation et formation",450-266-3464,
CQE1581,"Pike River, Hôtel de ville",Pike River,"Responsabilités et services : aménagement et urbanisme, habitation, voirie, développement communautaire et culturel, loisirs MRC de Brome-Missisquoi. Circonscriptions électorales : Brome-Missis",450-248-2120,
CQE1655,"Place aux jeunes en région, Secteur de Brome-Missisquoi",Cowansville,"Lutte contre l'exode et aide à la migration, l'établissement et le maintien des jeunes qualifiés dans les régions du Québec, promotion de l'engagement social et de l'intégration professionnelle des j",450-266-0993 poste 326,
CQE1608,Pleins rayons,Cowansville,"Inclusion sociale des jeunes adultes vivant avec un trouble du spectre de l'autisme (TSA) ou une déficience intellectuelle, programme d'intégration socio-professionnelle, ateliers de travail : menu",450-263-5300,
CQE1571,Popote roulante de Bedford,Bedford,"Service de livraison de repas à domicile, repas à emporter vendus sur place",450-248-7053,
CQE1546,"Québec (Province), Députés provinciaux de la région de l'Estrie, Informations générales",Estrie - Région 05,"Brome-Missisquoi Isabelle Charest (CAQ), Ministre responsable du Sport, du Loisir et du Plein air. Bureaux du Ministère de l'Éducation. 1035, rue De la Chevrotière, 16e étage, Québec, G1R 5A5",418-643-7239,
CQE1645,"Québec, Centre communautaire juridique de la Rive-Sud, Bureau d'aide juridique de Cowansville",Cowansville,"Aide juridique aux personnes à faible revenu du territoire. Les services d'aide juridique couverts par le régime sont rendus aux personnes financièrement admissibles, gratuitement ou moyennant le versement",450-263-5458,
CQE1647,"Québec, Ministère de l'Emploi et de la Solidarité sociale, Services Québec - Bureau régional de Cowansville",Cowansville,"Guichet multiservice des services gouvernementaux provinciaux offerts aux individus et aux entreprises offrant un accès simplifié aux services publics, renseignements généraux sur les programmes",450-263-1515,
CQE1497,"Québec, Ministère de l'Immigration, de la Francisation et de l'Intégration, Direction régionale Estrie",Estrie - Région 05,"Sélection des personnes immigrantes répondant aux besoins du Québec, soutien à leur francisation, leur intégration et leur contribution à la prospérité du Québec. Accompagnement personnalisé en région",Région de Montréal 514-864-9191,
CQE1678,"Québec, Société de l'assurance automobile du Québec, Centre de services de Bedford",Bedford,"Centre de services offrant l'ensemble des services de la Société. Permis de conduire, délivrance de permis de conduire, état dossier de conduite, examen pratique véhicule de promenade, examen prati",450-248-4169,
CQE1677,"Québec, Société de l'assurance automobile du Québec, Centre de services de Cowansville",Cowansville,"Centre de services offrant l'ensemble des services de la Société. Permis de conduire, délivrance de permis de conduire, état dossier de conduite, examen pratique véhicule de promenade, examen prati",450-263-8052,
CQE0182,Regroupement des gens d'affaires de Bedford et région,Bedford,"Regroupement de gens d'affaires, contribution au développement économique régional en favorisant la prospérité de ses commerces, entreprises et organismes, création d'échanges profitables entre elles",514-893-3351,
CQE0179,Regroupement des organismes communautaires des Rivières,Bedford,"Regroupement et défense des organismes de la communauté autonomes de la MRC Brome-Missisquoi, promotion et défense de l'action communautaire autonome, éducation populaire, soutien de ses membres",450-248-2229,
CQE1574,Regroupement soutien aux aidants de Brome-Missisquoi,Cowansville,"Services aux personnes proches aidantes, soutien psychosocial individuel et de groupe, possibilité de bénévolat. Soutien psychosocial aux aidés, visites d'amitié, soutien téléphonique, rencontres",450-263-4236 / Réservation par téléphone 450-263-4236 poste 5,
CQE1606,Récolte des générations (La),Dunham,"Promotion des liens intergénérationnels à travers le jardinage, la cuisine, l'art et la culture, jardin collectif et serre, soutien à l'implantation de jardins collectifs et communautaires sur mesur",450-522-5271,
CQE1613,Sac à mots,Cowansville,"Aide pour les adultes dans le développement de leurs capacités en lecture, écriture et calcul, alphabétisation : formation de base et ateliers pratique, francisation : formation en français langue seconde",450-266-3766,
CQE1580,"Saint-Armand, Hôtel de ville",Saint-Armand,"Assume des responsabilités en aménagement et urbanisme, habitation, voirie, développement communautaire et culturel, loisirs, transports en commun en milieu urbain, assainissement des eaux usées",450-248-2344,
CQE1579,"Saint-Ignace-de-Stanbridge, Hôtel de ville",Saint-Ignace-de-Stanbridge,"Responsabilités et services : aménagement et urbanisme, habitation, voirie, développement communautaire et culturel, loisirs, assainissement des eaux usées et autres MRC de Brome-Missisquoi",450-296-4467,
CQE1578,"Sainte-Sabine (région 05), Hôtel de ville",Sainte-Sabine (région 05),"Services : aménagement et urbanisme, habitation, voirie, développement communautaire et culturel, loisirs, assainissement des eaux usées et autres MRC de Brome-Missisquoi. Circonscriptions électorales",450-293-7686,
CQE1648,"Solidarité ethnique régionale de la Yamaska, Bureau de Cowansville",Cowansville,"Soutien à l'intégration des personnes immigrantes dans les divers milieux de la ville de Cowansville et des régions environnantes, aide à l'installation : informations sur le logement, référencement",450-266-4900 poste 296,
CQE0195,Soutien pour la santé mentale,Lac-Brome,"Aide et soutien aux personnes atteintes de problèmes en santé mentale, groupes de soutien, accompagnement, encouragement et informations, aide à l'acceptation pour les proches",579-488-1450,
CQE1577,"Stanbridge East, Hôtel de ville",Stanbridge East,"Assume des responsabilités en aménagement et urbanisme, habitation, voirie, développement communautaire et culturel, loisirs, transports en commun en milieu urbain, assainissement des eaux usées",450-248-3188 / Service de sécurité incendie 450-248-4650 / Sûreté du Québec 450-266-1122,
CQE1576,"Stanbridge Station, Hôtel de ville",Stanbridge Station,"Responsabilités et services : aménagement et urbanisme, habitation, voirie, développement communautaire et culturel, loisirs, assainissement des eaux usées et autres MRC de Brome-Missisquoi",450-248-2125,
CQE0188,"Station de radio communautaire CIDI-99,1",Lac-Brome,"Radio communautaire anglaise, information critique et participation du milieu, programmation variée en musique et information",450-242-4222,
CQE1599,"Sutton, Hôtel de ville",Sutton,"Responsabilités et services : aménagement et urbanisme, habitation, voirie, développement communautaire et culturel, loisirs, assainissement des eaux usées et autres MRC de Brome-Missisquoi",450-538-2290,
CQE1641,Villas des Monts de Sutton (Les),Sutton,"Habitation pour aînés autonomes et en légère perte d'autonomie, repas, système de sécurité, activités de loisirs. Capacité d'accueil 40 logements",450-538-1291,
CQE0178,Villas des Rivières,Bedford,Résidence privée pour aînés (RPA) autonomes et en légère perte d'autonomie. Capacité d'accueil 30 logements,450-263-2143,
CQE1662,Vitalité Frelighsburg,Frelighsburg,"Promotion du développement commercial et de la vie citoyenne, promotion et appui à la réalisation de projets citoyens, activités communautaires : fête de village, activité d'Halloween, marchés populaires",450-298-5198,
QBC4845,We Matter,Québec (Province),"Soutien aux jeunes autochtones avec des messages positifs d'espoir, de culture, de force, de guérison, de santé mentale et de valorisation de la vie, création et distribution de matériels et de ressources",,
CQE1612,Éducation des adultes en français de base,Farnham,"Aide pour les adultes dans le développement de leurs capacités en lecture, écriture et calcul, possibilité de bénévolat, cours d'alphabétisation, amélioration du français et de calcul de base",450-293-7098,
CQE1649,Équipe d'accompagnement Au Diapason,Bromont,"Services aux personnes atteintes de cancer nouvellement diagnostiquées, en traitement ou non, en fin de vie ainsi qu'à leurs proches, accompagnement, information, éducation, groupes de soutien",450-534-2002 poste 229,
CQE0008,Équipe de natation de Cowansville,Cowansville,"Promotion et développement de la natation dans la région de Cowansville, cours de natation, compétitions, entraînement, formation de maîtres-nageurs, Piscines du club, Centre aquatique Cowansville",418-263-6464 poste 426,
