id,name,category,subcategory,city,province,address,phone,website,hours,is_province_wide,is_urgent,verification_note,description
pw-csj-juridique,Commission des services juridiques (Aide juridique),soutienSocial,Aide juridique gratuite,Province de Québec,QC,,1-800-842-2213,https://www.csj.qc.ca/,Lun-ven 8h30-16h30. Sur RV. Garde téléphonique 24h pour arrestation: 1-800-842-2213.,t,f,,"Aide juridique gratuite ou à contribution selon les revenus. Bureaux dans toutes les régions du Québec. Couvre droit familial, criminel, immigration, jeunesse et plus."
urgent-croix-rouge,Croix-Rouge canadienne — Québec,soutienSocial,Aide aux sinistrés,Province de Québec,QC,,1-800-418-1111,,Lun-ven 8h30-16h30.,t,t,,"Aide d'urgence pour les victimes de sinistres : incendie, inondation, tempête. Hébergement temporaire, vêtements, nourriture, médicaments. Disponible 24h/24 en cas de catastrophe. Également présente pour l'aide humanitaire internationale et les formations aux premiers secours."
pw4,DPJ – Protection de la jeunesse,famille,Protection enfance,Province de Québec,QC,,1-800-463-9019,,Lun-ven 8h-20h. Sam-dim 8h-16h. Urgences jeunesse: disponible 24h.,t,t,,Service de protection pour enfants en danger. Signalements et intervention pour enfants maltraités ou négligés.
assurance-desjardins,Desjardins Assurances,soutienSocial,Assurance automobile,Province de Québec,QC,,1-800-463-7843,,Lun-ven 8h30-16h30. En ligne 24h/24 pour certains services.,t,t,,"Assurance auto et habitation du Mouvement Desjardins. Accès par les caisses populaires, en ligne ou par téléphone. Programme Ajusto récompense la conduite prudente avec des rabais."
etat-civil-qc,Directeur de l'état civil du Québec,soutienSocial,Documents d'identité,Province de Québec,QC,,1-800-567-3900,,Lun-ven 8h30-16h30. En ligne 24h/24 pour certains services.,t,f,,"Demande de certificats et copies d'actes : naissance, mariage, union civile, décès, changement de nom ou de sexe. Demande en ligne, par la poste ou en personne. Essentiel pour obtenir passeport, NAS, permis et autres documents officiels."
urgent-drogue-aide,Drogue : aide et référence,santemental,Dépendance et addiction,Province de Québec,QC,,1-800-265-2626,,Lun-ven 8h30-16h30. Urgences: appeler le 811 ou aller à l'urgence.,t,t,,"Ligne provinciale gratuite d'aide et de référence pour les problèmes de dépendance à la drogue, à l'alcool et aux médicaments. Disponible 24h/24, 7j/7. Intervenants spécialisés, orientent vers les centres de réadaptation, groupes de soutien et ressources locales."
re-pw5,DuProprio – Vente sans courtier,achatImmobilier,Recherche de propriété,Province de Québec,QC,,1-866-387-7677,,Lun-ven 9h-17h. Sam 9h-12h pour certains bureaux. En ligne 24h.,t,f,,"Propriétés vendues directement par les propriétaires, sans commission de courtier. Souvent moins cher. Bonne option pour acheteurs à budget limité."
pw7,Emploi-Québec,emploi,Services d'emploi,Province de Québec,QC,,1-888-643-4721,,Lun-ven 8h30-16h30. Sans RV ou sur RV selon service.,t,f,,"Services publics d'emploi. Aide à la recherche d'emploi, formations professionnelles et prestations."
emp-pw1,Emploi-Québec – Services d'emploi,emploi,Centre d'emploi,Province de Québec,QC,,1-877-644-4545,,Lun-ven 8h30-16h30.,t,f,,"Service public d'emploi du Québec. Aide à la recherche d'emploi, formation professionnelle, programmes de subvention aux employeurs, aide financière pour les chercheurs d'emploi."
pw-fc-francophone,Fédération culturelle canadienne-française,soutienSocial,Services francophones hors Québec,Province de Québec,QC,,1-866-823-3322,https://fccf.ca/,Lun-ven 8h30-16h30.,t,f,,"Réseau pancanadien des organismes francophones et acadiens. Référence vers services en français hors Québec : éducation, culture, services sociaux, santé."
cpe-pw3,Garde en milieu familial (RSG) – Réseau provincial,famille,Milieu familial subventionné,Province de Québec,QC,,1-877-644-4545,,Lun-ven 7h-18h. Fermeture jours fériés et 2 semaines l'été.,t,f,,Réseau de responsables en service de garde (RSG) à domicile. Tarif subventionné ≈ 10 $/jour. Disponible dans toutes les régions du Québec via Mon Enfant.
v-inca-canada,INCA — Institut national canadien pour les aveugles,soutienSocial,Personnes aveugles,Province de Québec,QC,,1-800-465-4622,,Lun-ven 8h30-16h30.,t,f,,"Services pour personnes aveugles ou ayant une perte de vision. Réadaptation, ligne de référence, soutien aux familles."
urgent-info-crime,Info-Crime Québec,soutienSocial,Sécurité publique,Province de Québec,QC,,1-800-711-1800,,Lun-ven 8h30-16h30.,t,t,,"Service anonyme et confidentiel pour signaler des crimes ou des activités criminelles sans devoir s'identifier. Trafic de drogue, violence, exploitation, vol. L'information est transmise aux corps policiers compétents. Disponible 24h/24."
pw2,Info-Santé / Info-Social,sante,Consultation santé,Province de Québec,QC,,811,,"Service disponible 24h/24, 7j/7",t,t,,Ligne provinciale d'information santé. Infirmières disponibles 24h/24 pour conseils médicaux et orientation.
assurance-intact,Intact Assurance,soutienSocial,Assurance automobile,Province de Québec,QC,,1-866-464-2003,,Lun-ven 8h30-16h30. En ligne 24h/24 pour certains services.,t,t,,"Plus grand assureur de dommages au Canada. Assurance auto et habitation au Québec avec service de réclamation 24h/24, réseau de réparateurs certifiés et application Intact MaVoiture."
v-interligne,Interligne,santemental,LGBTQ+,Province de Québec,QC,,1-888-505-1010,,"Service disponible 24h/24, 7j/7",t,t,,"Centre d'aide et d'écoute pour personnes LGBTQ+ et leurs proches. Téléphone, texto, clavardage. Bilingue. Anonyme et confidentiel. 24h/24."
urgent-jeu-aide,Jeu : aide et référence,santemental,Dépendance et addiction,Province de Québec,QC,,1-800-461-0140,,Lun-ven 8h30-16h30. Urgences: appeler le 811 ou aller à l'urgence.,t,t,,"Ligne provinciale gratuite pour les personnes aux prises avec un problème de jeu compulsif. Disponible 24h/24, 7j/7. Écoute, soutien, référence vers les centres de traitement et groupes d'entraide. Les proches peuvent aussi appeler."
urgent-kids-help,"Jeunesse, j'écoute / Kids Help Phone",santemental,Crise psychologique,Province de Québec,QC,,1-800-668-6868,,"Service disponible 24h/24, 7j/7",t,t,,"Service d'écoute et de counseling professionnel pour les jeunes Canadiens, disponible 24h/24, 365 jours par an. Thérapie par texto (texto 686868), clavardage et téléphone. Sujets : santé mentale, abus, LGBTQ+, identité, intimidation, relations. Entièrement gratuit."
urgent-aide-abus-aines,Ligne Aide Abus Aînés,famille,Protection des aînés,Province de Québec,QC,,1-888-489-2287,,Lun-ven 8h-20h. Sam-dim 8h-16h. Urgences jeunesse: disponible 24h.,t,t,,"Ligne d'aide provinciale gratuite pour les victimes d'abus, de maltraitance ou de négligence envers les personnes aînées. Violence physique, psychologique, financière ou sexuelle. Intervenants spécialisés disponibles du lundi au vendredi, référence vers ressources locales. Confidentiel."
v-ligne-parents,LigneParents,famille,Soutien parental,Province de Québec,QC,,1-800-361-5085,,Lun-ven 8h30-16h30. Sur RV.,t,f,,"Service d'écoute et d'intervention pour parents d'enfants 0-20 ans. Anonyme, confidentiel, gratuit. Téléphone, texto, clavardage. Disponible 24h/24."
pw-ligneparents-famille,LigneParents,famille,Soutien aux parents,Province de Québec,QC,,1-800-361-5085,https://www.ligneparents.com/,Lun-ven 8h30-16h30. Sur RV.,t,f,,
pw-mifi-immigration,MIFI – Ministère de l'Immigration,immigration,Démarches immigration,Province de Québec,QC,,1-877-864-9191,https://www.quebec.ca/immigration,Lun-ven 8h30-16h30. Sur RV pour consultations spécialisées.,t,f,,"Ministère de l'Immigration, de la Francisation et de l'Intégration. Sélection, francisation, intégration et reconnaissance des compétences pour personnes immigrantes au Québec."
cpe-pw2,Ministère de la Famille – Aide financière garde,famille,Aide financière,Province de Québec,QC,,1-877-644-4545,,Lun-ven 7h-18h. Fermeture jours fériés et 2 semaines l'été.,t,f,,"Information sur les subventions pour garde non subventionnée, aide d'urgence et remboursement d'impôt pour frais de garde (crédit d'impôt pour frais de garde d'enfants)."
cpe-pw1,Mon Enfant – Liste d'attente CPE,famille,CPE subventionné,Province de Québec,QC,,1-877-644-4545,,Inscription via portail 24h/24. Bureau: lun-ven 7h30-17h,t,f,,Portail provincial pour s'inscrire sur la liste d'attente des CPE et garderies subventionnées (≈ 10 $/jour). Géré par le Ministère de la Famille du Québec.
pw-msmq-santement,Mouvement Santé Mentale Québec,santemental,Promotion santé mentale,Province de Québec,QC,,1-877-849-4621,https://mouvementsmq.ca/,Lun-ven 8h30-16h30. Sur rendez-vous pour suivi.,t,f,,"Réseau provincial regroupant 13 organismes communautaires en promotion et prévention de la santé mentale. Outils, ateliers et campagnes annuelles."
re-assist1,OACIQ – Organisme d'autoréglementation courtage immobilier,achatImmobilier,Encadrement professionnel,Province de Québec,QC,,1-800-440-7170,,Lun-ven 9h-17h. Sam 9h-12h pour certains bureaux. En ligne 24h.,t,f,,"Vérifiez qu'un courtier est certifié au Québec. Accès à la procédure officielle d'achat immobilier, vos droits comme acheteur, et résolution de litiges. Gratuit."
hlth-pw3,OPHQ – Office des personnes handicapées,sante,Personnes handicapées,Province de Québec,QC,,1-800-567-1465,,Lun-ven 8h30-16h30. Pour urgence: 811 (Info-Santé) ou urgence hospitalière.,t,f,,"Défense des droits des personnes handicapées au Québec. Aide à l'accès aux services adaptés, transport, logement et emploi. Guide des programmes et ressources disponibles."
passeport-canada,Passeport Canada – Service Canada,soutienSocial,Documents d'identité,Province de Québec,QC,,1-800-567-6868,,Lun-ven 8h30-16h30. En ligne 24h/24 pour certains services.,t,f,,"Demande, renouvellement et remplacement de passeport canadien pour adultes et enfants. Service assuré par Service Canada dans tous les bureaux du Québec (dont Trois-Rivières, Shawinigan, Drummondville). Délai régulier 20 jours ouvrables, service urgent disponible."
v-portage,Portage,santemental,Toxicomanie,Province de Québec,QC,,1-866-893-3819,,Lun-ven 8h30-16h30. Urgences: appeler le 811 ou aller à l'urgence.,t,f,,"Centre de réhabilitation en toxicomanie pour adolescents, adultes, mères avec enfants. Programmes résidentiels au Québec et au Canada."
hlth-pw4,Programme SAPA – Soins à domicile (CISSS/CIUSSS),sante,Soins à domicile,Province de Québec,QC,,811,,"Service disponible 24h/24, 7j/7",t,f,,"Services de soins à domicile pour personnes âgées ou en perte d'autonomie : infirmières, ergothérapeutes, aide-ménagère, repas. Contactez votre CLSC local ou le 811."
assurance-promutuel,Promutuel Assurance,soutienSocial,Assurance automobile,Province de Québec,QC,,1-888-466-6883,,Lun-ven 8h30-16h30. En ligne 24h/24 pour certains services.,t,t,,"Assureur mutuel québécois offrant la couverture auto, habitation et entreprise. Réseau de 17 caisses régionales partout au Québec. Déclaration de sinistre disponible 24h/24."
soc-drt2,Protecteur du citoyen,soutienSocial,Défense des droits,Province de Québec,QC,,1-800-463-5070,,Lun-ven 8h30-16h30.,t,f,,"Ombudsman québécois. Défend les citoyens face aux erreurs ou injustices des ministères et organismes publics du Québec. Gratuit, confidentiel. Aussi pour aide sociale, logement, RAMQ."
hlth-pw1,RAMQ – Régie de l'assurance maladie,sante,Assurance maladie,Province de Québec,QC,,1-800-561-9749,,Lun-ven 8h30-16h30. Pour urgence: 811 (Info-Santé) ou urgence hospitalière.,t,f,,"Inscrivez-vous à la carte d'assurance maladie (RAMQ) pour accéder aux soins de santé couverts. Aide pour personnes sans carte, nouveaux arrivants et situations précaires."
re-pw2,RAP – Régime d'accession à la propriété (REER),achatImmobilier,Programme gouvernemental,Province de Québec,QC,,1-800-959-8281,,Lun-ven 9h-17h. Sam 9h-12h pour certains bureaux. En ligne 24h.,t,f,,Retirez jusqu'à 35 000 $ de votre REER sans impôt pour l'achat d'une première propriété. Remboursement sur 15 ans. Accessible via l'Agence du revenu du Canada (ARC).
urgent-rqcalacs,RQCALACS — Agressions à caractère sexuel,famille,Agression sexuelle,Province de Québec,QC,,1-888-933-9007,,Ligne 24h/24. Intervention et soutien disponibles en tout temps.,t,t,,"Réseau québécois des centres d'aide et de lutte contre les agressions à caractère sexuel. Soutien aux victimes d'agression sexuelle, d'inceste et de harcèlement. Écoute, accompagnement, défense des droits, thérapie. Centres présents dans toutes les régions du Québec."
soc-rev1,Revenu Québec – Aide aux personnes à faible revenu,soutienSocial,Services gouvernementaux,Province de Québec,QC,,1-800-267-6299,,Lun-ven 8h30-16h30. En ligne 24h/24 pour certains services.,t,f,,"Aide pour produire votre déclaration de revenus, accéder aux crédits d'impôt (solidarité, TVQ), régulariser des dettes fiscales. Programme Assistance-Revenu et aide aux aînes."
v-revivre,Revivre — Anxiété et dépression,santemental,Anxiété/dépression,Province de Québec,QC,,1-866-738-4873,,Lun-ven 8h30-16h30. Sur rendez-vous pour suivi.,t,f,,"Soutien aux personnes vivant avec anxiété, dépression ou trouble bipolaire. Ligne d'écoute, ateliers d'autogestion, groupes d'entraide."
hlth-aine1,Réseau FADOQ – Services aux aînés,sante,Services aux aînés,Province de Québec,QC,,1-800-544-9058,,Lun-ven 8h30-16h30. Pour urgence: 811 (Info-Santé) ou urgence hospitalière.,t,f,,"Plus grand réseau d'aînés du Québec. Aide aux aînés pour accéder aux services de santé, logement, transport adapté, activités sociales et défense de leurs droits."
re-pw1,SCHL – Société canadienne d'hypothèques,achatImmobilier,Programme gouvernemental,Province de Québec,QC,,1-800-668-2642,,Lun-ven 9h-17h. Sam 9h-12h pour certains bureaux. En ligne 24h.,t,f,,"Programme fédéral d'assurance hypothécaire (mise de fonds 5 %-19,99 %). Calculateurs de budget, guides du premier acheteur, aide aux familles vulnérables. Obligatoire si mise de fonds < 20 %."
pw-shq-logement,SHQ – Société d'habitation du Québec,logement,Logement social et abordable,Province de Québec,QC,,1-800-463-4315,https://www.habitation.gouv.qc.ca/,Lun-ven 8h30-16h30.,t,f,,"Organisme gouvernemental responsable du logement social, abordable et accessible au Québec. Programmes : HLM, supplément au loyer, AccèsLogis, allocation-logement."
urgent-sos-grossesse,SOS Grossesse,famille,Grossesse en crise,Province de Québec,QC,,1-800-463-5655,,Ligne 24h/24. Intervention et soutien disponibles en tout temps.,t,t,,"Ligne d'écoute et de référence pour les femmes vivant une grossesse non désirée ou difficile. Soutien émotionnel, information sur toutes les options, référence vers ressources locales. Disponible 24h/24 par téléphone et clavardage. Totalement gratuit et confidentiel."
pw3,SOS Violence Conjugale,famille,Violence conjugale,Province de Québec,QC,,1-800-363-9010,,"Service disponible 24h/24, 7j/7",t,t,,Ligne d'aide 24h/24 pour victimes de violence conjugale. Hébergement d'urgence et accompagnement.
emp-pw2,Service Canada – Assurance-emploi (AE),emploi,Aide financière,Province de Québec,QC,,1-800-206-7218,,Lun-ven 8h30-16h30.,t,f,,"Demande de prestations d'assurance-emploi suite à une perte d'emploi. Calculateur de prestations, déclarations bimensuelles, aide aux prestataires en situation précaire."
imm-pw2,Service Canada – Statuts et documents fédéraux,immigration,Services fédéraux,Province de Québec,QC,,1-800-622-6232,,Portail en ligne 24h/24. Centre d'appels: lun-ven 8h-20h.,t,f,,"Immigration, Réfugiés et Citoyenneté Canada (IRCC). Permis de travail, résidence permanente, citoyenneté, réfugiés. Service d'assistance téléphonique gratuit."
pw-servicesqc-emploi,Services Québec – Emploi,emploi,Recherche d'emploi et formation,Province de Québec,QC,,1-877-644-4545,https://www.quebec.ca/emploi,Lun-ven 8h30-16h30.,t,f,,"Centres locaux d'emploi (CLE) partout au Québec : aide à la recherche d'emploi, formations subventionnées, programmes d'intégration en emploi et soutien financier."
pw5,Suicide Action Montréal / Tel-Jeunes,santemental,Prévention suicide,Province de Québec,QC,,1-866-APPELLE,,"Service disponible 24h/24, 7j/7",t,t,,Ligne de prévention du suicide 24h/24. Intervention pour personnes suicidaires et leurs proches.
urgent-securite-civile,Sécurité civile Québec,soutienSocial,Aide aux sinistrés,Province de Québec,QC,,1-800-363-1363,,Lun-ven 8h30-16h30.,t,t,,"Service gouvernemental d'aide aux sinistrés en cas de catastrophe naturelle (inondation, verglas, tempête). Programme d'indemnisation, hébergement d'urgence, rétablissement. Coordination avec les municipalités et organismes communautaires."
police-sq,Sûreté du Québec (SQ),soutienSocial,Service de police,Province de Québec,QC,,1-800-461-2131,,"Service d'urgence 24h/24, 7j/7.",t,t,,"Police provinciale du Québec. Couvre la totalité du territoire québécois, notamment toutes les municipalités sans service de police municipal. Interventions d'urgence, enquêtes criminelles, sécurité routière. En cas d'urgence, composez le 911."
assurance-td,TD Assurance,soutienSocial,Assurance automobile,Province de Québec,QC,,1-888-788-0839,,Lun-ven 8h30-16h30. En ligne 24h/24 pour certains services.,t,t,,"Assurance auto et habitation offerte aux membres de groupes affiliés et clients TD. Service de réclamation 24h/24, voiture de remplacement et protection contre les accidents sans faute."
urgent-tel-jeunes,Tel-Jeunes (12–25 ans),santemental,Crise psychologique,Province de Québec,QC,,1-800-263-2266,,Lun-ven 8h30-16h30. Sur rendez-vous pour suivi.,t,t,,"Service d'écoute et d'intervention pour jeunes de 12 à 25 ans. Disponible 24h/24 par téléphone, texto et clavardage. Soutien pour idées suicidaires, dépression, violence, relations amoureuses, identité sexuelle, pression des pairs. Gratuit, confidentiel, sans jugement."
taq-qc,Tribunal administratif du Québec (TAQ),soutienSocial,Tribunal administratif,Province de Québec,QC,,1-800-567-0278,,Lun-ven 8h30-16h30. Sur RV. Garde téléphonique 24h pour arrestation: 1-800-842-2213.,t,f,,"Recours contre les décisions de l'administration publique : aide sociale, SAAQ, CNESST, immigration, santé mentale, affaires sociales. Dépôt de recours en ligne, audiences gratuites, aucun avocat obligatoire. Délai habituel : 30 à 60 jours après la décision contestée."
assurance-wawanesa,Wawanesa Assurance,soutienSocial,Assurance automobile,Province de Québec,QC,,1-844-929-2637,,Lun-ven 8h30-16h30. En ligne 24h/24 pour certains services.,t,t,,"Assureur mutuel reconnu pour ses prix compétitifs en assurance auto et habitation. Vendu via courtiers agréés au Québec. Service en français, assistance routière et gestion des réclamations réactive."
assurance-belairdirect,belairdirect,soutienSocial,Assurance automobile,Province de Québec,QC,,1-888-270-3595,,Lun-ven 8h30-16h30. En ligne 24h/24 pour certains services.,t,t,,"Assureur en ligne leader au Québec. Soumission et gestion de police 100% numérique. Assurance auto avec assistance routière incluse, déclaration de sinistre 24h/24 et tarifs compétitifs."
assurance-industrielle-alliance,iA Assurance,soutienSocial,Assurance automobile,Province de Québec,QC,,1-800-463-6236,,Lun-ven 8h30-16h30. En ligne 24h/24 pour certains services.,t,t,,"Industrielle Alliance (iA Groupe financier) offre assurance auto, habitation et vie au Québec. Siège social à Québec, réseau de conseillers partout dans la province et plateforme numérique complète."
info-social-811,Service Info-Social 811,santemental,Ligne d'écoute,Trois-Rivières,QC,,811,,"Service disponible 24h/24, 7j/7",t,t,,"Service téléphonique provincial d'écoute et de consultation en santé mentale. Disponible 24h/24, 7j/7. Répond à toutes les questions d'ordre psychosocial et oriente vers les ressources."
sk-211,211 Saskatchewan,soutienSocial,Référence communautaire,Province de la Saskatchewan,SK,,211,https://sk.211.ca,"211: disponible 7j/7, 8h-22h. Certaines régions: 24h/24.",t,f,,
sk-health-line,HealthLine Saskatchewan,sante,Info-Santé 24/7,Province de la Saskatchewan,SK,,811,https://www.saskatchewan.ca/residents/health/accessing-health-care-services/healthline-online,"Service disponible 24h/24, 7j/7",t,f,,
sk-lmi,Labour Market Information Saskatchewan,emploi,Services d'emploi,Province de la Saskatchewan,SK,,1-800-667-7590,https://www.saskatchewan.ca/residents/employment,Lun-ven 8h30-16h30. Sans RV ou sur RV selon service.,t,f,,
sk-cmhc-sk,SCHL – Saskatchewan,achatImmobilier,Aide à l'achat,Province de la Saskatchewan,SK,,1-800-668-2642,https://www.cmhc-schl.gc.ca,Lun-ven 9h-17h. Sam 9h-12h pour certains bureaux. En ligne 24h.,t,f,,
sk-sha,Saskatchewan Health Authority,sante,Réseau de la santé,Province de la Saskatchewan,SK,,1-833-766-7427,https://www.saskhealthauthority.ca,Lun-ven 8h30-16h30. Pour urgence: 811 (Info-Santé) ou urgence hospitalière.,t,f,,
sk-housing-sk,Saskatchewan Housing Corporation,logement,Logement subventionné,Province de la Saskatchewan,SK,,306-787-4177,https://www.saskatchewan.ca/residents/housing,Bureau lun-ven 8h30-16h30. Liste d'attente – inscription requise.,t,f,,
yt-211,211 Yukon,soutienSocial,Référence communautaire,Territoire du Yukon,YT,,211,https://www.yt.211.ca,"211: disponible 7j/7, 8h-22h. Certaines régions: 24h/24.",t,f,,
yt-811,811 – Info-Santé,sante,Info-Santé 24/7,Territoire du Yukon,YT,,811,https://yukon.ca/fr/sante-et-securite,"Service disponible 24h/24, 7j/7",t,f,,
yt-cmhc-yt,SCHL – Yukon,achatImmobilier,Aide à l'achat,Territoire du Yukon,YT,,1-800-668-2642,https://www.cmhc-schl.gc.ca,Lun-ven 9h-17h. Sam 9h-12h pour certains bureaux. En ligne 24h.,t,f,,
yt-employment-yt,Services aux travailleurs – Yukon,emploi,Services d'emploi,Whitehorse,YT,,867-667-5811,https://yukon.ca/fr/faire-affaire-avec-le-gouvernement/embaucher-au-yukon,Lun-ven 8h30-16h30. Sans RV ou sur RV selon service.,t,f,,
ab-cfs-ab,Children's Services Alberta,famille,Protection de l'enfance,Province de l'Alberta,AB,,1-800-387-5437,https://www.alberta.ca/cs.aspx,Service essentiel Alberta.,f,f,,
ab-cavac-ab,Victim Services Alberta,famille,Aide aux victimes,Province de l'Alberta,AB,,1-866-845-5082,https://www.victimservices.alberta.ca,Service essentiel Alberta.,f,f,,
bc-cfs-bc,Children and Family Services BC,famille,Protection de l'enfance,Province de la Colombie-Britannique,BC,,1-800-663-9122,https://www.mcf.gov.bc.ca,Service essentiel Colombie-Britannique.,f,f,,
bc-cavac-bc,Victim Services BC,famille,Aide aux victimes,Province de la Colombie-Britannique,BC,,1-800-563-0808,https://www.victimsinfo.ca,Service essentiel Colombie-Britannique.,f,f,,
mb-cfs,Child and Family Services MB,famille,Protection de l'enfance,Province du Manitoba,MB,,1-800-665-6332,https://www.gov.mb.ca/fs/childfam/,Service essentiel provincial.,f,f,,
nb-cfs,Services famille NB,famille,Protection de l'enfance,Province du Nouveau-Brunswick,NB,,1-888-832-2226,https://www2.gnb.ca/enfance,Service essentiel provincial.,f,f,,
ns-cfs,Children and Family Services NS,famille,Protection de l'enfance,Province de la Nouvelle-Écosse,NS,,1-855-225-2148,https://www.novascotia.ca/dcs/cfs/,Service essentiel provincial.,f,f,,
drum-garde-cpe-cooperatif-les-p-tites-abeilles-inst-2,CPE COOPÉRATIF LES P'TITES ABEILLES - INST. DUNKIN,famille,CPE subventionné,Drummondville,QC,,819-474-5849,,Lun-ven 7h-18h. Fermeture jours fériés et 2 semaines l'été.,f,f,ADRESSE: Inst. Dunkin – adresse à confirmer | À VÉRIFIER – pas de numéro direct trouvé pour cette installation. Contacter le BC CPE Les Petits Lutins (819-472-4454) pour référence.,CPE (subventionné) à Drummondville. Tarif : 9.65 $/jour. Inscriptions via La Place 0-5 (laplace0-5.com).
drum-garde-cpe-cooperatif-les-p-tites-abeilles-inst,CPE COOPÉRATIF LES P'TITES ABEILLES - INST. LINDSAY,famille,CPE subventionné,Drummondville,QC,,819-474-5849,,Lun-ven 7h-18h. Fermeture jours fériés et 2 semaines l'été.,f,f,ADRESSE: Inst. Lindsay – adresse à confirmer | À VÉRIFIER – pas de numéro direct trouvé pour cette installation. Contacter le BC CPE Les Petits Lutins (819-472-4454) pour référence.,CPE (subventionné) à Drummondville. Tarif : 9.65 $/jour. Inscriptions via La Place 0-5 (laplace0-5.com).
drum-garde-cpe-grand-mere-douceur-inst-st-charles,CPE GRAND-MÈRE DOUCEUR - INST. ST-CHARLES,famille,CPE subventionné,Drummondville,QC,,819-474-5849,,Lun-ven 7h-18h. Fermeture jours fériés et 2 semaines l'été.,f,f,"ADRESSE: Installation St-Charles – adresse à confirmer (même organisme, tél. siège) | Numéro siège social – adresse exacte à valider",CPE (subventionné) à Drummondville. Tarif : 9.65 $/jour. Inscriptions via La Place 0-5 (laplace0-5.com).
drum-garde-cpe-sur-une-patte-inst-celanese,CPE SUR UNE PATTE - INST. CELANESE,famille,CPE subventionné,Drummondville,QC,,819-472-4454,,Lun-ven 7h-18h. Fermeture jours fériés et 2 semaines l'été.,f,f,ADRESSE: Inst. Celanese – adresse à confirmer | À VÉRIFIER – numéro direct non trouvé. Numéro BC utilisé comme référence temporaire.,CPE (subventionné) à Drummondville. Tarif : 9.65 $/jour. Inscriptions via La Place 0-5 (laplace0-5.com).
centre911-centreduqc,Centre 911 — Centre-du-Québec,soutienSocial,Centre 911,Drummondville,QC,,911,,"Service disponible 24h/24, 7j/7",f,t,,"Centre 911 pour le Centre-du-Québec. Dispatch police, incendie et ambulances pour Drummondville, Victoriaville, Bécancour. ⚠️ Plusieurs petites municipalités rurales ont des délais d'intervention plus longs en raison du manque de premiers répondants. Composez le 911."
drum-garde-g-au-chateau-des-amis,G. AU CHÂTEAU DES AMIS,famille,Garderie subventionné,Drummondville,QC,,1-844-270-5055,,Lun-ven 7h-18h. Fermeture jours fériés et 2 semaines l'été.,f,f,À VÉRIFIER – numéro direct non trouvé. Contacter le BC Petits Lutins (819-472-4454) ou chercher sur Pages Jaunes Drummondville. | ,Garderie (subventionné) à Drummondville. Tarif : 9.65 $/jour. Inscriptions via La Place 0-5 (laplace0-5.com).
drum-garde-g-l-atelier-des-frimousses,G. L'ATELIER DES FRIMOUSSES,famille,Garderie subventionné,Drummondville,QC,,1-844-270-5055,,Lun-ven 7h-18h. Fermeture jours fériés et 2 semaines l'été.,f,f,À VÉRIFIER – numéro direct non trouvé. Contacter le BC Petits Lutins (819-472-4454) ou chercher sur Pages Jaunes Drummondville. | ,Garderie (subventionné) à Drummondville. Tarif : 9.65 $/jour. Inscriptions via La Place 0-5 (laplace0-5.com).
drum-garde-g-l-univers-enchante-lemire,G. L'UNIVERS ENCHANTÉ (LEMIRE),famille,Garderie non subventionné,Drummondville,QC,,1-844-270-5055,,Lun-ven 7h-18h. Fermeture jours fériés et 2 semaines l'été.,f,f,À VÉRIFIER – numéro direct non trouvé. Contacter le BC Petits Lutins (819-472-4454) ou chercher sur Pages Jaunes Drummondville. | ,Garderie (non subventionné) à Drummondville. Tarif : À partir de 61.50 $/jour. Inscriptions via La Place 0-5 (laplace0-5.com).
drum-garde-g-la-petite-ecole-vision-drummondville,G. LA PETITE ÉCOLE VISION DRUMMONDVILLE,famille,Garderie non subventionné,Drummondville,QC,,1-844-270-5055,,Lun-ven 7h-18h. Fermeture jours fériés et 2 semaines l'été.,f,f,À VÉRIFIER – numéro direct non trouvé. Contacter le BC Petits Lutins (819-472-4454) ou chercher sur Pages Jaunes Drummondville. | ,Garderie (non subventionné) à Drummondville. Tarif : À partir de 70.00 $/jour. Inscriptions via La Place 0-5 (laplace0-5.com).
drum-garde-g-pomme-aventure-drummondville,G. POMME AVENTURE DRUMMONDVILLE,famille,Garderie subventionné,Drummondville,QC,,1-844-270-5055,,Lun-ven 7h-18h. Fermeture jours fériés et 2 semaines l'été.,f,f,À VÉRIFIER – numéro direct non trouvé. Contacter le BC Petits Lutins (819-472-4454) ou chercher sur Pages Jaunes Drummondville. | ,Garderie (subventionné) à Drummondville. Tarif : 9.65 $/jour. Inscriptions via La Place 0-5 (laplace0-5.com).
centre911-gaspesie,Centre 911 — Gaspésie / Îles-de-la-Madeleine,soutienSocial,Centre 911,Gaspé,QC,,911,,"Service disponible 24h/24, 7j/7",f,t,,"Centre 911 pour la Gaspésie et les Îles-de-la-Madeleine. Dispatch pour Gaspé, Matane, Carleton, Cap-aux-Meules. ⚠️ Territoire vaste — délais d'intervention variables. Composez le 911."
centre911-gatineau,Centre 911 de Gatineau — Outaouais,soutienSocial,Centre 911,Gatineau,QC,,911,,"Service disponible 24h/24, 7j/7",f,t,,"Centre de dispatch d'urgence pour Gatineau et la région de l'Outaouais. Coordonne police (SPG), pompiers (SIG) et services ambulanciers. Composez le 911."
