No. dossier,Nom organisme / programme,Situé à,Description,Tél. de bureau,Site internet / Courriel
CQE1635,Association Garagona,Frelighsburg,"Soutien aux enfants, adolescents et adultes vivant avec une déficience intellectuelle ou un trouble du spectre de l'autisme (TSA), fins de semaine de répit, camp de vacances estival, ateliers",450-298-5159,
CQE1584,"Frelighsburg, Hôtel de ville",Frelighsburg,"Assume des responsabilités en aménagement et urbanisme, habitation, voirie, développement communautaire et culturel, loisirs, transports en commun en milieu urbain, assainissement des eaux usées",450-298-5133 / Sûreté du Québec 450-266-1122,
CQE1662,Vitalité Frelighsburg,Frelighsburg,"Promotion du développement commercial et de la vie citoyenne, promotion et appui à la réalisation de projets citoyens, activités communautaires : fête de village, activité d'Halloween, marchés populaires",450-298-5198,
CQE0082,Action communautaire Lac-Brome,Lac-Brome,"Promotion de l'entraide et l'amélioration des conditions de vies des citoyens de Lac-Brome, Bolton Ouest et Brome. Soutien et accompagnement des membres de la communauté, aide à l'intégration",450-830-1016,actioncommunautairelacbrome@gmail.com
CQE1715,"Association des Townshippers, Point de service Lac-Brome",Lac-Brome,"Promotion et soutien des intérêts de la communauté minoritaire d'expression anglaise de la région des Cantons-de-l'Est au Québec, accueil, écoute et référence, renforcement de l'identité culturelle",819-566-5717,
CQE0088,Banque alimentaire Lac-Brome,Lac-Brome,"Collecte et distribution d'aliments aux personnes à faible revenu, banque alimentaire, récupération de denrées alimentaires non périssables, Paniers de Noël pour les municipalités",450-242-2020 poste 319,
CQE0119,Centre de bénévolat Mieux-être,Lac-Brome,"Promotion et soutien de l'action bénévole, amélioration de la qualité de vie des aînés de la région, système d'alarme personnel, accompagnement-transport (transport à l'hôpital de Montréal ou de Sherbrooke)",450-242-2020,
CQE0060,Centre de la petite enfance La Passerelle des mousses,Lac-Brome,"Services de garde pour enfants (0-5 ans). Points de service : 238, rue Victoria, Lac-Brome (70 places), 60, rue Principale Sud, Sutton (44 places)",450-242-2131,
CQE1471,Centre intégré universitaire de santé et de services sociaux de l'Estrie - CLSC Lac-Brome,Lac-Brome,"Offre, en première ligne, à la population du territoire qu'il dessert, des services de santé et des services sociaux courants, soins et services généraux de santé",Avant-midi 450-242-2001 / après-midi 450-242-2020 / Guichet d'accès médecin de famille 450-242-3342 poste 35695,
CQE0155,Club Optimiste de Lac-Brome,Lac-Brome,"Projets de service communautaire visant à inspirer le meilleur chez les jeunes, organisation d'activités de financement et redistribution aux écoles et organismes jeunesse, activités familiales",,
CQE0097,"Clubs Lions du Québec, Knowlton - 014889, Région 54 Sud",Lac-Brome,"Club de bienfaisance engagé à l'amélioration de sa communauté et du monde, prévention de la cécité et appui aux handicapés visuels, prévention du diabète, soutien à la jeunesse, paniers de Noël",450-531-9186,
CQE1617,"FADOQ, Club de la Bonne humeur de Lac-Brome",Lac-Brome,"Club social pour aînés affilié à la Fédération des clubs de l'âge d'or du Québec (FADOQ), réunions d'information, représentation, défense des droits et référence aux organismes partenaires, rabais",450-243-5620,
CQE1583,"Lac-Brome, Hôtel de ville",Lac-Brome,"Assume des responsabilités en aménagement et urbanisme, habitation, voirie, développement communautaire et culturel, loisirs, transports en commun en milieu urbain, assainissement des eaux usées",450-243-6111,
CQE1813,"Lac-Brome, Hôtel de ville, Frigo communautaire",Lac-Brome,"Frigo communautaire libre-service (frigo-partage), réfrigérateur en libre-service servant au partage de la nourriture (situé dans la cuisine du Centre Lac-Brome), don de denrées par le public",450-242-2020,
CQE0199,"Légion royale canadienne, Filiale 06-023, Brome, Knowlton",Lac-Brome,"Aide aux vétérans, aux membres en service actif des Forces armées canadiennes et de la Gendarmerie royale du Canada et leur famille, défense de leurs droits et intérêts, promotion du Souvenir, camp",450-243-5302,
CQE0195,Soutien pour la santé mentale,Lac-Brome,"Aide et soutien aux personnes atteintes de problèmes en santé mentale, groupes de soutien, accompagnement, encouragement et informations, aide à l'acceptation pour les proches",579-488-1450,
CQE0188,"Station de radio communautaire CIDI-99,1",Lac-Brome,"Radio communautaire anglaise, information critique et participation du milieu, programmation variée en musique et information",450-242-4222,
CQE1582,"Notre-Dame-de-Stanbridge, Hôtel de ville",Notre-Dame-de-Stanbridge,"Assume des responsabilités en aménagement et urbanisme, habitation, voirie, développement communautaire et culturel, loisirs, transports en commun en milieu urbain, assainissement des eaux usées",450-296-4710 / Urgence voirie 450-357-6358 / Signalement de chiens errants 450-357-6358,
CQE1581,"Pike River, Hôtel de ville",Pike River,"Responsabilités et services : aménagement et urbanisme, habitation, voirie, développement communautaire et culturel, loisirs MRC de Brome-Missisquoi. Circonscriptions électorales : Brome-Missis",450-248-2120,
CQE1580,"Saint-Armand, Hôtel de ville",Saint-Armand,"Assume des responsabilités en aménagement et urbanisme, habitation, voirie, développement communautaire et culturel, loisirs, transports en commun en milieu urbain, assainissement des eaux usées",450-248-2344,
CQE1579,"Saint-Ignace-de-Stanbridge, Hôtel de ville",Saint-Ignace-de-Stanbridge,"Responsabilités et services : aménagement et urbanisme, habitation, voirie, développement communautaire et culturel, loisirs, assainissement des eaux usées et autres MRC de Brome-Missisquoi",450-296-4467,
CQE1573,Club des personnes handicapées Brome-Missisquoi,Sainte-Sabine (région 05),"Organisation d'activités de loisirs, aide à l'intégration sociale des personnes handicapées adultes et amélioration de leur qualité de vie, service d'information, sensibilisation de la population",450-293-2326,
CQE1578,"Sainte-Sabine (région 05), Hôtel de ville",Sainte-Sabine (région 05),"Services : aménagement et urbanisme, habitation, voirie, développement communautaire et culturel, loisirs, assainissement des eaux usées et autres MRC de Brome-Missisquoi. Circonscriptions électorales",450-293-7686,
CQE1577,"Stanbridge East, Hôtel de ville",Stanbridge East,"Assume des responsabilités en aménagement et urbanisme, habitation, voirie, développement communautaire et culturel, loisirs, transports en commun en milieu urbain, assainissement des eaux usées",450-248-3188 / Service de sécurité incendie 450-248-4650 / Sûreté du Québec 450-266-1122,
CQE1576,"Stanbridge Station, Hôtel de ville",Stanbridge Station,"Responsabilités et services : aménagement et urbanisme, habitation, voirie, développement communautaire et culturel, loisirs, assainissement des eaux usées et autres MRC de Brome-Missisquoi",450-248-2125,
CQE1568,Centre d'action bénévole de Sutton,Sutton,"Promotion de l'action bénévole, popote roulante et repas chauds, banque alimentaire, paniers de Noël, ressource Famille : écoute, information, référence, ateliers d'éveil musical, littéraire et artistique",450-538-1919 / Intervenante bilingue 450-522-2422 / Ressource 50+ 450-521-5105,
CQE1473,Centre intégré universitaire de santé et de services sociaux de l'Estrie - CLSC Sutton,Sutton,"Offre, en première ligne, à la population du territoire qu'il dessert, des services de santé et des services sociaux courants, soins et services généraux de santé, prélèvements, consultation",450-538-3994 / Guichet d'accès médecin de famille 450-266-4342 poste 35695,
CQE1652,Comptoir familial de Sutton,Sutton,"Services pastoraux et célébrations eucharistiques régulières. Comptoir familial : vêtements, articles de maison, jouets, meubles, électroménagers, articles de sports, appareils électroniques usagés",450-538-3215,
CQE1626,Jardin d'enfants de Sutton,Sutton,"Prématernelle pour enfants de 3-5 ans, encadrement pédagogique, activités ludiques et éducatives : sorties, jeux, bricolages, lectures, dessins, activités motrices, et autres, avec service de garde",450-538-3024,
CQE1607,Jardins communautaires de Sutton,Sutton,"Jardins communautaires, promotion de l'alimentation saine et locale, agriculture de proximité",450-538-8064,
CQE0177,Maison des jeunes de Sutton Le Spot,Sutton,"Lieu de rencontre animé où les jeunes, au contact d'adultes significatifs, pourront devenir des citoyens critiques et responsables, amélioration de la qualité de vie des jeunes, milieu de vi",450-522-7494 / 450-538-7494,
CQE1726,Parc d'environnement naturel de Sutton,Sutton,"Protection de la nature de Sutton en assurant un accès public encadré, mise en place d'un programme d'éducation relatif à l'environnement favorisant sa compréhension, son respect et sa conservation",450-538-4085,
CQE1599,"Sutton, Hôtel de ville",Sutton,"Responsabilités et services : aménagement et urbanisme, habitation, voirie, développement communautaire et culturel, loisirs, assainissement des eaux usées et autres MRC de Brome-Missisquoi",450-538-2290,
CQE1641,Villas des Monts de Sutton (Les),Sutton,"Habitation pour aînés autonomes et en légère perte d'autonomie, repas, système de sécurité, activités de loisirs. Capacité d'accueil 40 logements",450-538-1291,
