id,categorie,nom,site_actuel,site_corrige,telephone_actuel,telephone_corrige,ville_actuelle,ville_corrigee,province_actuelle,province_corrigee,adresse_actuelle,adresse_corrigee,description_actuelle,description_corrigee,action (garder|corriger|supprimer),notes
emp-sit-mauricie-st-tite,emploi,SIT Mauricie – Service d'intégration au travail (Saint-Tite),https://www.sitmauricie.com,,418-365-5005,,Saint-Tite,,QC,,"35, rue du Parc Industriel, Saint-Tite, QC G0X 3H0",,Service d'intégration au travail pour personnes ayant des contraintes à l'emploi. Bureau Saint-Tite. Source: sitmauricie.com.,,,
emp-sit-mauricie-shawinigan,emploi,SIT Mauricie – Service d'intégration au travail (Shawinigan),https://www.sitmauricie.com,,819-539-6070,,Shawinigan,,QC,,"4012, avenue Giroux, Shawinigan, QC G9N 3C7",,Service d'intégration au travail pour personnes ayant des contraintes à l'emploi. Bureau Shawinigan. Source: sitmauricie.com.,,,
emp-sit-mauricie-tr,emploi,SIT Mauricie – Service d'intégration au travail (Trois-Rivières),https://www.sitmauricie.com,,819-694-0704,,Trois-Rivières,,QC,,"1090, rue De La Vérendrye, Trois-Rivières, QC G9A 2S8",,Service d'intégration au travail pour personnes ayant des contraintes à l'emploi. Bureau Trois-Rivières. Source: sitmauricie.com.,,,
emp-semo-tetes,emploi,Têtes en l'air – SEMO santé mentale,https://tetesenlair.org,,514-484-9889,,Montréal,,QC,,"5165, rue Sherbrooke Ouest, bureau 480, Montréal, QC H4A 1T6",,Aide à l'emploi pour personnes vivant avec un trouble mental. Source: tetesenlair.org.,,,
tr-garde-alexandra-robert,famille,Alexandra Robert,https://www.quebec.ca/famille-et-soutien-aux-personnes/enfance/garderies-et-services-de-garde/portail-inscription/parents/acceder-parents,,819-694-6662,,Trois-Rivières,,QC,,"500, rue des Forges, Trois-Rivières QC G9A 2H5",,Milieu familial (subventionné) à Trois-Rivières. Tarif : 9.65 $/jour. Inscriptions via La Place 0-5 (laplace0-5.com).,,,
tr-garde-andreanne-cantin,famille,Andréanne Cantin,https://www.quebec.ca/famille-et-soutien-aux-personnes/enfance/garderies-et-services-de-garde/portail-inscription/parents/acceder-parents,,819-694-6662,,Trois-Rivières,,QC,,"500, rue des Forges, Trois-Rivières QC G9A 2H5",,Milieu familial (subventionné) à Trois-Rivières. Tarif : 9.65 $/jour. Inscriptions via La Place 0-5 (laplace0-5.com).,,,
tr-garde-au-jardin-fleurice,famille,Au Jardin Fleurice,https://www.quebec.ca/famille-et-soutien-aux-personnes/enfance/garderies-et-services-de-garde/portail-inscription/parents/acceder-parents,,819-694-6662,,Trois-Rivières,,QC,,"500, rue des Forges, Trois-Rivières QC G9A 2H5",,Milieu familial (subventionné) à Trois-Rivières. Tarif : 9.65 $/jour. Inscriptions via La Place 0-5 (laplace0-5.com).,,,
tr-garde-cathy-tremblay,famille,cathy tremblay,https://www.quebec.ca/famille-et-soutien-aux-personnes/enfance/garderies-et-services-de-garde/portail-inscription/parents/acceder-parents,,819-694-6662,,Trois-Rivières,,QC,,"500, rue des Forges, Trois-Rivières QC G9A 2H5",,Milieu familial (subventionné) à Trois-Rivières. Tarif : 9.65 $/jour. Inscriptions via La Place 0-5 (laplace0-5.com).,,,
tr-garde-chantal-bellerive,famille,Chantal Bellerive,https://www.quebec.ca/famille-et-soutien-aux-personnes/enfance/garderies-et-services-de-garde/portail-inscription/parents/acceder-parents,,819-694-6662,,Trois-Rivières,,QC,,"500, rue des Forges, Trois-Rivières QC G9A 2H5",,Milieu familial (subventionné) à Trois-Rivières. Tarif : 9.65 $/jour. Inscriptions via La Place 0-5 (laplace0-5.com).,,,
tr-garde-chez-annie,famille,Chez Annie,https://www.quebec.ca/famille-et-soutien-aux-personnes/enfance/garderies-et-services-de-garde/portail-inscription/parents/acceder-parents,,819-694-6662,,Trois-Rivières,,QC,,"500, rue des Forges, Trois-Rivières QC G9A 2H5",,Milieu familial (subventionné) à Trois-Rivières. Tarif : 9.65 $/jour. Inscriptions via La Place 0-5 (laplace0-5.com).,,,
tr-garde-chez-stefanny,famille,Chez Stefanny,https://www.quebec.ca/famille-et-soutien-aux-personnes/enfance/garderies-et-services-de-garde/portail-inscription/parents/acceder-parents,,819-694-6662,,Trois-Rivières,,QC,,"500, rue des Forges, Trois-Rivières QC G9A 2H5",,Milieu familial (subventionné) à Trois-Rivières. Tarif : 9.65 $/jour. Inscriptions via La Place 0-5 (laplace0-5.com).,,,
tr-garde-chez-titi,famille,Chez Titi,https://www.quebec.ca/famille-et-soutien-aux-personnes/enfance/garderies-et-services-de-garde/portail-inscription/parents/acceder-parents,,819-694-6662,,Trois-Rivières,,QC,,"500, rue des Forges, Trois-Rivières QC G9A 2H5",,Milieu familial (subventionné) à Trois-Rivières. Tarif : 9.65 $/jour. Inscriptions via La Place 0-5 (laplace0-5.com).,,,
tr-garde-cpe-entre-deux-nuages,famille,CPE ENTRE DEUX NUAGES,https://www.quebec.ca/famille-et-soutien-aux-personnes/enfance/garderies-et-services-de-garde/portail-inscription/parents/acceder-parents,,819-374-0401,,Trois-Rivières,,QC,,"928, rue Guilbert, Trois-Rivières QC G8T 5V7",,CPE (subventionné) à Trois-Rivières. Tarif : 9.65 $/jour. Inscriptions via La Place 0-5 (laplace0-5.com).,,,
tr-garde-cpe-jean-noel-lapin-inst-ste-marthe,famille,CPE JEAN-NOËL LAPIN - INST. STE-MARTHE,https://www.quebec.ca/famille-et-soutien-aux-personnes/enfance/garderies-et-services-de-garde/portail-inscription/parents/acceder-parents,,819-372-9640,,Trois-Rivières,,QC,,"700, rue du Marthelinois, Trois-Rivières QC G8V 2W9",,CPE (subventionné) à Trois-Rivières. Tarif : 9.65 $/jour. Inscriptions via La Place 0-5 (laplace0-5.com).,,,
tr-garde-cpe-l-arbre-enchante,famille,CPE L'ARBRE ENCHANTÉ,https://www.quebec.ca/famille-et-soutien-aux-personnes/enfance/garderies-et-services-de-garde/portail-inscription/parents/acceder-parents,,1-844-270-5055,,Trois-Rivières,,QC,,"455, rue des Vétérans, Trois-Rivières, QC G8T 2W8",,CPE (subventionné) à Trois-Rivières. Tarif : 9.65 $/jour. Inscriptions via La Place 0-5 (laplace0-5.com).,,,
tr-garde-cpe-le-cerf-volant-inst-sainte-madeleine,famille,CPE LE CERF-VOLANT - INST. SAINTE-MADELEINE,https://www.quebec.ca/famille-et-soutien-aux-personnes/enfance/garderies-et-services-de-garde/portail-inscription/parents/acceder-parents,,1-844-270-5055,,Trois-Rivières,,QC,,"976, rue de la Terrière, Trois-Rivières, QC G8Z 3J4",,CPE (subventionné) à Trois-Rivières. Tarif : 9.65 $/jour. Inscriptions via La Place 0-5 (laplace0-5.com).,,,
tr-garde-cpe-le-cerf-volant-inst-tousignant-1,famille,CPE LE CERF-VOLANT - INST. TOUSIGNANT 1,https://www.quebec.ca/famille-et-soutien-aux-personnes/enfance/garderies-et-services-de-garde/portail-inscription/parents/acceder-parents,,1-844-270-5055,,Trois-Rivières,,QC,,"976, rue de la Terrière, Trois-Rivières, QC G8Z 3J4",,CPE (subventionné) à Trois-Rivières. Tarif : 9.65 $/jour. Inscriptions via La Place 0-5 (laplace0-5.com).,,,
tr-garde-francoise-beliveau,famille,Françoise Béliveau,https://www.quebec.ca/famille-et-soutien-aux-personnes/enfance/garderies-et-services-de-garde/portail-inscription/parents/acceder-parents,,819-694-6662,,Trois-Rivières,,QC,,"500, rue des Forges, Trois-Rivières QC G9A 2H5",,Milieu familial (subventionné) à Trois-Rivières. Tarif : 9.65 $/jour. Inscriptions via La Place 0-5 (laplace0-5.com).,,,
tr-garde-g-l-oiseau-bleu,famille,G. L'OISEAU BLEU,https://www.quebec.ca/famille-et-soutien-aux-personnes/enfance/garderies-et-services-de-garde/portail-inscription/parents/acceder-parents,,819-909-1145,,Trois-Rivières,,QC,,"1020, boul. Thibeau, Trois-Rivières QC G8T 7B2",,Garderie (subventionné) à Trois-Rivières. Tarif : 9.65 $/jour. Inscriptions via La Place 0-5 (laplace0-5.com).,,,
tr-garde-g-l-oiseau-bleu-ii,famille,G. L'OISEAU BLEU II,https://www.quebec.ca/famille-et-soutien-aux-personnes/enfance/garderies-et-services-de-garde/portail-inscription/parents/acceder-parents,,819-909-1145,,Trois-Rivières,,QC,,"430, rue Saint-Laurent, Trois-Rivières QC G8T 6H3",,Garderie (subventionné) à Trois-Rivières. Tarif : 9.65 $/jour. Inscriptions via La Place 0-5 (laplace0-5.com).,,,
tr-garde-garderie-de-la-gloire,famille,Garderie de la gloire,https://www.quebec.ca/famille-et-soutien-aux-personnes/enfance/garderies-et-services-de-garde/portail-inscription/parents/acceder-parents,,819-694-6662,,Trois-Rivières,,QC,,"500, rue des Forges, Trois-Rivières QC G9A 2H5",,Milieu familial (subventionné) à Trois-Rivières. Tarif : 9.65 $/jour. Inscriptions via La Place 0-5 (laplace0-5.com).,,,
tr-garde-garderie-educative-lumiere-du-monde,famille,Garderie éducative lumière du monde,https://www.quebec.ca/famille-et-soutien-aux-personnes/enfance/garderies-et-services-de-garde/portail-inscription/parents/acceder-parents,,819-694-6662,,Trois-Rivières,,QC,,"500, rue des Forges, Trois-Rivières QC G9A 2H5",,Milieu familial (subventionné) à Trois-Rivières. Tarif : 9.65 $/jour. Inscriptions via La Place 0-5 (laplace0-5.com).,,,
tr-garde-garderie-les-amis-de-nounou,famille,garderie les amis de nounou,https://www.quebec.ca/famille-et-soutien-aux-personnes/enfance/garderies-et-services-de-garde/portail-inscription/parents/acceder-parents,,819-694-6662,,Trois-Rivières,,QC,,"500, rue des Forges, Trois-Rivières QC G9A 2H5",,Milieu familial (subventionné) à Trois-Rivières. Tarif : 9.65 $/jour. Inscriptions via La Place 0-5 (laplace0-5.com).,,,
tr-garde-isabelle-dumas,famille,Isabelle Dumas,https://www.quebec.ca/famille-et-soutien-aux-personnes/enfance/garderies-et-services-de-garde/portail-inscription/parents/acceder-parents,,819-694-6662,,Trois-Rivières,,QC,,"500, rue des Forges, Trois-Rivières QC G9A 2H5",,Milieu familial (subventionné) à Trois-Rivières. Tarif : 9.65 $/jour. Inscriptions via La Place 0-5 (laplace0-5.com).,,,
tr-garde-julie-lacroix,famille,Julie lacroix,https://www.quebec.ca/famille-et-soutien-aux-personnes/enfance/garderies-et-services-de-garde/portail-inscription/parents/acceder-parents,,819-694-6662,,Trois-Rivières,,QC,,"500, rue des Forges, Trois-Rivières QC G9A 2H5",,Milieu familial (subventionné) à Trois-Rivières. Tarif : 9.65 $/jour. Inscriptions via La Place 0-5 (laplace0-5.com).,,,
tr-garde-karine-clement,famille,Karine Clément,https://www.quebec.ca/famille-et-soutien-aux-personnes/enfance/garderies-et-services-de-garde/portail-inscription/parents/acceder-parents,,819-694-6662,,Trois-Rivières,,QC,,"500, rue des Forges, Trois-Rivières QC G9A 2H5",,Milieu familial (subventionné) à Trois-Rivières. Tarif : 9.65 $/jour. Inscriptions via La Place 0-5 (laplace0-5.com).,,,
tr-garde-la-cabane-des-p-tis-amis,famille,La Cabane Des P'tis amis,https://www.quebec.ca/famille-et-soutien-aux-personnes/enfance/garderies-et-services-de-garde/portail-inscription/parents/acceder-parents,,819-694-6662,,Trois-Rivières,,QC,,"500, rue des Forges, Trois-Rivières QC G9A 2H5",,Milieu familial (subventionné) à Trois-Rivières. Tarif : 9.65 $/jour. Inscriptions via La Place 0-5 (laplace0-5.com).,,,
tr-garde-le-temps-d-une-culbute,famille,Le temps d'une culbute,https://www.quebec.ca/famille-et-soutien-aux-personnes/enfance/garderies-et-services-de-garde/portail-inscription/parents/acceder-parents,,819-694-6662,,Trois-Rivières,,QC,,"500, rue des Forges, Trois-Rivières QC G9A 2H5",,Milieu familial (non subventionné) à Trois-Rivières. Tarif : À partir de 55.00 $/jour. Inscriptions via La Place 0-5 (laplace0-5.com).,,,
tr-garde-les-amis-de-chateaudun,famille,Les amis de Châteaudun,https://www.quebec.ca/famille-et-soutien-aux-personnes/enfance/garderies-et-services-de-garde/portail-inscription/parents/acceder-parents,,819-694-6662,,Trois-Rivières,,QC,,"500, rue des Forges, Trois-Rivières QC G9A 2H5",,Milieu familial (subventionné) à Trois-Rivières. Tarif : 9.65 $/jour. Inscriptions via La Place 0-5 (laplace0-5.com).,,,
tr-garde-les-petits-loups,famille,les petits loups,https://www.quebec.ca/famille-et-soutien-aux-personnes/enfance/garderies-et-services-de-garde/portail-inscription/parents/acceder-parents,,819-694-6662,,Trois-Rivières,,QC,,"500, rue des Forges, Trois-Rivières QC G9A 2H5",,Milieu familial (subventionné) à Trois-Rivières. Tarif : 9.65 $/jour. Inscriptions via La Place 0-5 (laplace0-5.com).,,,
tr-garde-linda-daneau,famille,Linda Daneau,https://www.quebec.ca/famille-et-soutien-aux-personnes/enfance/garderies-et-services-de-garde/portail-inscription/parents/acceder-parents,,819-694-6662,,Trois-Rivières,,QC,,"500, rue des Forges, Trois-Rivières QC G9A 2H5",,Milieu familial (subventionné) à Trois-Rivières. Tarif : 9.65 $/jour. Inscriptions via La Place 0-5 (laplace0-5.com).,,,
tr-garde-lison-lapointe,famille,Lison Lapointe,https://www.quebec.ca/famille-et-soutien-aux-personnes/enfance/garderies-et-services-de-garde/portail-inscription/parents/acceder-parents,,819-694-6662,,Trois-Rivières,,QC,,"500, rue des Forges, Trois-Rivières QC G9A 2H5",,Milieu familial (subventionné) à Trois-Rivières. Tarif : 9.65 $/jour. Inscriptions via La Place 0-5 (laplace0-5.com).,,,
tr-garde-ma-petite-ecole-du-monde,famille,Ma petite école du monde,https://www.quebec.ca/famille-et-soutien-aux-personnes/enfance/garderies-et-services-de-garde/portail-inscription/parents/acceder-parents,,819-694-6662,,Trois-Rivières,,QC,,"500, rue des Forges, Trois-Rivières QC G9A 2H5",,Milieu familial (subventionné) à Trois-Rivières. Tarif : 9.65 $/jour. Inscriptions via La Place 0-5 (laplace0-5.com).,,,
tr-garde-manon,famille,Manon,https://www.quebec.ca/famille-et-soutien-aux-personnes/enfance/garderies-et-services-de-garde/portail-inscription/parents/acceder-parents,,819-694-6662,,Trois-Rivières,,QC,,"500, rue des Forges, Trois-Rivières QC G9A 2H5",,Milieu familial (subventionné) à Trois-Rivières. Tarif : 9.65 $/jour. Inscriptions via La Place 0-5 (laplace0-5.com).,,,
tr-garde-manon-ouellette,famille,Manon Ouellette,https://www.quebec.ca/famille-et-soutien-aux-personnes/enfance/garderies-et-services-de-garde/portail-inscription/parents/acceder-parents,,819-694-6662,,Trois-Rivières,,QC,,"500, rue des Forges, Trois-Rivières QC G9A 2H5",,Milieu familial (subventionné) à Trois-Rivières. Tarif : 9.65 $/jour. Inscriptions via La Place 0-5 (laplace0-5.com).,,,
tr-garde-marie-christine-heroux,famille,Marie-Christine Héroux,https://www.quebec.ca/famille-et-soutien-aux-personnes/enfance/garderies-et-services-de-garde/portail-inscription/parents/acceder-parents,,819-694-6662,,Trois-Rivières,,QC,,"500, rue des Forges, Trois-Rivières QC G9A 2H5",,Milieu familial (subventionné) à Trois-Rivières. Tarif : 9.65 $/jour. Inscriptions via La Place 0-5 (laplace0-5.com).,,,
tr-garde-marie-claude-fournier,famille,Marie-Claude Fournier,https://www.quebec.ca/famille-et-soutien-aux-personnes/enfance/garderies-et-services-de-garde/portail-inscription/parents/acceder-parents,,819-694-6662,,Trois-Rivières,,QC,,"500, rue des Forges, Trois-Rivières QC G9A 2H5",,Milieu familial (subventionné) à Trois-Rivières. Tarif : 9.65 $/jour. Inscriptions via La Place 0-5 (laplace0-5.com).,,,
tr-garde-melina-veillette,famille,Melina Veillette,https://www.quebec.ca/famille-et-soutien-aux-personnes/enfance/garderies-et-services-de-garde/portail-inscription/parents/acceder-parents,,819-694-6662,,Trois-Rivières,,QC,,"500, rue des Forges, Trois-Rivières QC G9A 2H5",,Milieu familial (non subventionné) à Trois-Rivières. Tarif : À partir de 45.00 $/jour. Inscriptions via La Place 0-5 (laplace0-5.com).,,,
tr-garde-mesamis,famille,Mesamis,https://www.quebec.ca/famille-et-soutien-aux-personnes/enfance/garderies-et-services-de-garde/portail-inscription/parents/acceder-parents,,819-694-6662,,Trois-Rivières,,QC,,"500, rue des Forges, Trois-Rivières QC G9A 2H5",,Milieu familial (subventionné) à Trois-Rivières. Tarif : 9.65 $/jour. Inscriptions via La Place 0-5 (laplace0-5.com).,,,
tr-garde-mme-abibata-aziz-gbane,famille,Mme Abibata Aziz Gbane,https://www.quebec.ca/famille-et-soutien-aux-personnes/enfance/garderies-et-services-de-garde/portail-inscription/parents/acceder-parents,,819-694-6662,,Trois-Rivières,,QC,,"500, rue des Forges, Trois-Rivières QC G9A 2H5",,Milieu familial (subventionné) à Trois-Rivières. Tarif : 9.65 $/jour. Inscriptions via La Place 0-5 (laplace0-5.com).,,,
tr-garde-mme-diane-guillemette,famille,Mme Diane Guillemette,https://www.quebec.ca/famille-et-soutien-aux-personnes/enfance/garderies-et-services-de-garde/portail-inscription/parents/acceder-parents,,819-694-6662,,Trois-Rivières,,QC,,"500, rue des Forges, Trois-Rivières QC G9A 2H5",,Milieu familial (subventionné) à Trois-Rivières. Tarif : 9.65 $/jour. Inscriptions via La Place 0-5 (laplace0-5.com).,,,
tr-garde-mme-esther-joseph,famille,Mme Esther Joseph,https://www.quebec.ca/famille-et-soutien-aux-personnes/enfance/garderies-et-services-de-garde/portail-inscription/parents/acceder-parents,,819-694-6662,,Trois-Rivières,,QC,,"500, rue des Forges, Trois-Rivières QC G9A 2H5",,Milieu familial (subventionné) à Trois-Rivières. Tarif : 9.65 $/jour. Inscriptions via La Place 0-5 (laplace0-5.com).,,,
tr-garde-mme-fabina-joseph,famille,Mme Fabina Joseph,https://www.quebec.ca/famille-et-soutien-aux-personnes/enfance/garderies-et-services-de-garde/portail-inscription/parents/acceder-parents,,819-694-6662,,Trois-Rivières,,QC,,"500, rue des Forges, Trois-Rivières QC G9A 2H5",,Milieu familial (subventionné) à Trois-Rivières. Tarif : 9.65 $/jour. Inscriptions via La Place 0-5 (laplace0-5.com).,,,
tr-garde-mme-frantza-sheila-merizier,famille,Mme Frantza Sheila Merizier,https://www.quebec.ca/famille-et-soutien-aux-personnes/enfance/garderies-et-services-de-garde/portail-inscription/parents/acceder-parents,,819-694-6662,,Trois-Rivières,,QC,,"500, rue des Forges, Trois-Rivières QC G9A 2H5",,Milieu familial (subventionné) à Trois-Rivières. Tarif : 9.65 $/jour. Inscriptions via La Place 0-5 (laplace0-5.com).,,,
tr-garde-mme-josianne-parent,famille,Mme Josianne Parent,https://www.quebec.ca/famille-et-soutien-aux-personnes/enfance/garderies-et-services-de-garde/portail-inscription/parents/acceder-parents,,819-694-6662,,Trois-Rivières,,QC,,"500, rue des Forges, Trois-Rivières QC G9A 2H5",,Milieu familial (subventionné) à Trois-Rivières. Tarif : 9.65 $/jour. Inscriptions via La Place 0-5 (laplace0-5.com).,,,
tr-garde-mme-joyeuse-mukamihigo,famille,Mme Joyeuse Mukamihigo,https://www.quebec.ca/famille-et-soutien-aux-personnes/enfance/garderies-et-services-de-garde/portail-inscription/parents/acceder-parents,,819-694-6662,,Trois-Rivières,,QC,,"500, rue des Forges, Trois-Rivières QC G9A 2H5",,Milieu familial (subventionné) à Trois-Rivières. Tarif : 9.65 $/jour. Inscriptions via La Place 0-5 (laplace0-5.com).,,,
tr-garde-mme-laure-mukashyaka,famille,Mme Laure Mukashyaka,https://www.quebec.ca/famille-et-soutien-aux-personnes/enfance/garderies-et-services-de-garde/portail-inscription/parents/acceder-parents,,819-694-6662,,Trois-Rivières,,QC,,"500, rue des Forges, Trois-Rivières QC G9A 2H5",,Milieu familial (subventionné) à Trois-Rivières. Tarif : 9.65 $/jour. Inscriptions via La Place 0-5 (laplace0-5.com).,,,
tr-garde-mme-marie-claude-thibeault,famille,Mme Marie-Claude Thibeault,https://www.quebec.ca/famille-et-soutien-aux-personnes/enfance/garderies-et-services-de-garde/portail-inscription/parents/acceder-parents,,819-694-6662,,Trois-Rivières,,QC,,"500, rue des Forges, Trois-Rivières QC G9A 2H5",,Milieu familial (subventionné) à Trois-Rivières. Tarif : 9.65 $/jour. Inscriptions via La Place 0-5 (laplace0-5.com).,,,
tr-garde-mme-maryse-plourde,famille,Mme Maryse Plourde,https://www.quebec.ca/famille-et-soutien-aux-personnes/enfance/garderies-et-services-de-garde/portail-inscription/parents/acceder-parents,,819-694-6662,,Trois-Rivières,,QC,,"500, rue des Forges, Trois-Rivières QC G9A 2H5",,Milieu familial (subventionné) à Trois-Rivières. Tarif : 9.65 $/jour. Inscriptions via La Place 0-5 (laplace0-5.com).,,,
tr-garde-mme-seri-lou-boti-desiree-yapo-epse-toa,famille,Mme Seri Lou Boti Desirée Yapo Epse Toa,https://www.quebec.ca/famille-et-soutien-aux-personnes/enfance/garderies-et-services-de-garde/portail-inscription/parents/acceder-parents,,819-694-6662,,Trois-Rivières,,QC,,"500, rue des Forges, Trois-Rivières QC G9A 2H5",,Milieu familial (subventionné) à Trois-Rivières. Tarif : 9.65 $/jour. Inscriptions via La Place 0-5 (laplace0-5.com).,,,
tr-garde-nancy,famille,Nancy,https://www.quebec.ca/famille-et-soutien-aux-personnes/enfance/garderies-et-services-de-garde/portail-inscription/parents/acceder-parents,,819-694-6662,,Trois-Rivières,,QC,,"500, rue des Forges, Trois-Rivières QC G9A 2H5",,Milieu familial (subventionné) à Trois-Rivières. Tarif : 9.65 $/jour. Inscriptions via La Place 0-5 (laplace0-5.com).,,,
tr-garde-nancy-leduc,famille,Nancy Leduc,https://www.quebec.ca/famille-et-soutien-aux-personnes/enfance/garderies-et-services-de-garde/portail-inscription/parents/acceder-parents,,819-694-6662,,Trois-Rivières,,QC,,"500, rue des Forges, Trois-Rivières QC G9A 2H5",,Milieu familial (subventionné) à Trois-Rivières. Tarif : 9.65 $/jour. Inscriptions via La Place 0-5 (laplace0-5.com).,,,
tr-garde-saida-habibi-ihlane,famille,SAIDA Habibi ihlane,https://www.quebec.ca/famille-et-soutien-aux-personnes/enfance/garderies-et-services-de-garde/portail-inscription/parents/acceder-parents,,819-694-6662,,Trois-Rivières,,QC,,"500, rue des Forges, Trois-Rivières QC G9A 2H5",,Milieu familial (subventionné) à Trois-Rivières. Tarif : 9.65 $/jour. Inscriptions via La Place 0-5 (laplace0-5.com).,,,
tr-garde-sdg-il-etait-un-petit,famille,SDG Il était un petit,https://www.quebec.ca/famille-et-soutien-aux-personnes/enfance/garderies-et-services-de-garde/portail-inscription/parents/acceder-parents,,819-694-6662,,Trois-Rivières,,QC,,"500, rue des Forges, Trois-Rivières QC G9A 2H5",,Milieu familial (subventionné) à Trois-Rivières. Tarif : 9.65 $/jour. Inscriptions via La Place 0-5 (laplace0-5.com).,,,
tr-garde-service-de-garde-educatif-des-p-tites-ab,famille,Service de garde éducatif Des P'tites Abeilles,https://www.quebec.ca/famille-et-soutien-aux-personnes/enfance/garderies-et-services-de-garde/portail-inscription/parents/acceder-parents,,819-694-6662,,Trois-Rivières,,QC,,"500, rue des Forges, Trois-Rivières QC G9A 2H5",,Milieu familial (subventionné) à Trois-Rivières. Tarif : 9.65 $/jour. Inscriptions via La Place 0-5 (laplace0-5.com).,,,
tr-garde-service-de-garde-les-petits-chatons,famille,service de garde les petits chatons,https://www.quebec.ca/famille-et-soutien-aux-personnes/enfance/garderies-et-services-de-garde/portail-inscription/parents/acceder-parents,,819-694-6662,,Trois-Rivières,,QC,,"500, rue des Forges, Trois-Rivières QC G9A 2H5",,Milieu familial (subventionné) à Trois-Rivières. Tarif : 9.65 $/jour. Inscriptions via La Place 0-5 (laplace0-5.com).,,,
tr-garde-milieu-familial,famille,Services de garde en milieu familial — Trois-Rivières (1),https://www.quebec.ca/famille-et-soutien-aux-personnes/enfance/garderies-et-services-de-garde/portail-inscription/parents/acceder-parents,,819-694-6662,,Trois-Rivières,,QC,,"500, rue des Forges, Trois-Rivières QC G9A 2H5",,Milieu familial (subventionné) à Trois-Rivières. Tarif : 9.65 $/jour. Inscriptions via La Place 0-5 (laplace0-5.com).,,,
tr-garde-milieu-familial-2,famille,Services de garde en milieu familial — Trois-Rivières (2),https://www.quebec.ca/famille-et-soutien-aux-personnes/enfance/garderies-et-services-de-garde/portail-inscription/parents/acceder-parents,,819-694-6662,,Trois-Rivières,,QC,,"500, rue des Forges, Trois-Rivières QC G9A 2H5",,Milieu familial (subventionné) à Trois-Rivières. Tarif : 9.65 $/jour. Inscriptions via La Place 0-5 (laplace0-5.com).,,,
tr-garde-milieu-familial-3,famille,Services de garde en milieu familial — Trois-Rivières (3),https://www.quebec.ca/famille-et-soutien-aux-personnes/enfance/garderies-et-services-de-garde/portail-inscription/parents/acceder-parents,,819-694-6662,,Trois-Rivières,,QC,,"500, rue des Forges, Trois-Rivières QC G9A 2H5",,Milieu familial (subventionné) à Trois-Rivières. Tarif : 9.65 $/jour. Inscriptions via La Place 0-5 (laplace0-5.com).,,,
tr-garde-milieu-familial-4,famille,Services de garde en milieu familial — Trois-Rivières (4),https://www.quebec.ca/famille-et-soutien-aux-personnes/enfance/garderies-et-services-de-garde/portail-inscription/parents/acceder-parents,,819-694-6662,,Trois-Rivières,,QC,,"500, rue des Forges, Trois-Rivières QC G9A 2H5",,Milieu familial (subventionné) à Trois-Rivières. Tarif : 9.65 $/jour. Inscriptions via La Place 0-5 (laplace0-5.com).,,,
tr-garde-milieu-familial-5,famille,Services de garde en milieu familial — Trois-Rivières (5),https://www.quebec.ca/famille-et-soutien-aux-personnes/enfance/garderies-et-services-de-garde/portail-inscription/parents/acceder-parents,,819-694-6662,,Trois-Rivières,,QC,,"500, rue des Forges, Trois-Rivières QC G9A 2H5",,Milieu familial (subventionné) à Trois-Rivières. Tarif : 9.65 $/jour. Inscriptions via La Place 0-5 (laplace0-5.com).,,,
tr-garde-sherly,famille,SHERLY,https://www.quebec.ca/famille-et-soutien-aux-personnes/enfance/garderies-et-services-de-garde/portail-inscription/parents/acceder-parents,,819-694-6662,,Trois-Rivières,,QC,,"500, rue des Forges, Trois-Rivières QC G9A 2H5",,Milieu familial (subventionné) à Trois-Rivières. Tarif : 9.65 $/jour. Inscriptions via La Place 0-5 (laplace0-5.com).,,,
tr-garde-sylvie-beaumier,famille,Sylvie Beaumier,https://www.quebec.ca/famille-et-soutien-aux-personnes/enfance/garderies-et-services-de-garde/portail-inscription/parents/acceder-parents,,819-694-6662,,Trois-Rivières,,QC,,"500, rue des Forges, Trois-Rivières QC G9A 2H5",,Milieu familial (subventionné) à Trois-Rivières. Tarif : 9.65 $/jour. Inscriptions via La Place 0-5 (laplace0-5.com).,,,
tr-garde-winnie-garderie,famille,Winnie garderie,https://www.quebec.ca/famille-et-soutien-aux-personnes/enfance/garderies-et-services-de-garde/portail-inscription/parents/acceder-parents,,819-694-6662,,Trois-Rivières,,QC,,"500, rue des Forges, Trois-Rivières QC G9A 2H5",,Milieu familial (subventionné) à Trois-Rivières. Tarif : 9.65 $/jour. Inscriptions via La Place 0-5 (laplace0-5.com).,,,
imm-acet,immigration,Accueil Parrainage Outaouais (APO),https://www.apo-qc.org,,819-777-2960,,Gatineau,,QC,,"124, rue Jeanne-d'Arc, Gatineau QC J8Y 2H7",,"Accueil, parrainage, francisation, défense des droits des immigrants en Outaouais. Source: apo-qc.org.",,,
imm-asfc-mtl,immigration,Action Réfugiés Montréal,https://actionr.org,,514-935-7799,,Montréal,,QC,,"1439, av. Union, bureau 401, Montréal, QC H3A 2B5",,"Soutien aux demandeurs d'asile et personnes réfugiées : visite en détention, jumelage. Source: actionr.org.",,,
imm-actions-interculturelles-estrie,immigration,Actions Interculturelles,https://aide.org,,819-823-1300,,Sherbrooke,,QC,,"342, rue Bowen Sud, Sherbrooke, QC J1G 2E2",,"Médiation interculturelle, lutte au racisme, jumelage. Source: aide.org.",,,
